视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,推荐理由,BV号
暴雪国服确定回归！网易代理，账号数据全部都在！,夏一可,504940,2675,2494,24960,9201,6533,上海,1712716377,280,,BV1Zx4y1Y7c1
"【明日方舟】你ALL\ALL\ALL\,最后lose光光",彳文xow,521184,476,34455,89854,44955,8445,浙江,1712623500,117,8万点赞,BV1YZ421e7BB
成为老实人后，才理解为什么大爷爱骂营业厅了。,NBzhuoc大,159190,548,2685,20066,5677,422,浙江,1712737063,443,很多人点赞,BV1vZ421e7xe
一口气看完海贼王“故事时间线”！完整回顾海贼王5000年故事，传奇强者奋斗史诗，伟大航路波澜壮阔！,动漫作业本,225348,1013,6652,17467,12656,1254,福建,1712720825,2340,,BV1hJ4m1V7PG
【名利场】女优们的报复,摩尔家陈泰山,175806,571,3088,7109,1864,898,上海,1712663604,694,,BV1Zz421y7rL
人生靠疯，靠孤注一掷,你的陈星越,150143,83,1981,24016,3281,275,上海,1712741251,112,短片·人气飙升,BV15D421s7PG
《谢天谢帝》官方MV 诺米么lodmemo,诺米么lodmemo126,437402,641,3049,21437,4943,3330,湖南,1712634865,208,,BV1eA4m1F7LC
没有技巧，全是感情,敲叶壳,839142,186,6903,88625,1226,1277,重庆,1712633025,30,8万点赞,BV14F4m1K7ew
辞职创业6年，极速拍档经历了什么？,极速拍档,1056967,6847,11417,74853,47096,2959,广东,1712631600,1105,7万点赞,BV1o1421m7C9
判了！漫威征服者康演员判决落定！但他的事业已经被判了死刑,努力的Lorre,1191833,4190,3060,41371,885,1740,北京,1712655165,384,,BV17M4m197uE
关于“00后实习生勇闯电子行业，意外成为运营”这件事,YXC扬兴科技,205346,56,793,41911,3580,103,广东,1712651400,96,科工机械·人气飙升,BV1ut421H72P
婚礼哪些仪式可以取消？【我：全部取消】,康哟喂,1253233,3905,26286,114559,84775,12930,中国台湾,1712570400,762,百万播放,BV11t421E7tF
朋友们，这次在泰国吃生腌翻车了……,JASON刘雨鑫,577400,323,1246,39964,528,2136,北京,1712656922,95,,BV1nm42177bm
“我在5:20睡觉，13:14准时起来吹唢呐”,浑元Rysn,199034,176,2283,24634,1988,844,上海,1712726040,145,演奏·人气飙升,BV1Sp421y7et
FPS枪都穿模了！量子优化技术！量子力学在游戏开发中的应用,小猴哥TA,1409991,189,5502,63264,1168,283,上海,1712652216,78,,BV1zz421y7ex
有人知道《吃不饱三战士》和《练不完三战士》什么关系么？,李炮炮儿,2019519,935,6719,190075,2094,1839,辽宁,1712560225,174,,BV1nC41157oG
好多手艺，学不过来了！都是三十年以上的功力哦～,永琪吗,579129,1495,5750,104176,53528,1356,重庆,1712646367,366,10万点赞,BV1Uz421y7nu
一起感受一下，400米障碍跑一镜到底！,中国青年报,355754,329,2720,68219,1002,652,,1712650040,96,6万点赞,BV1vC41157wc
文化输出～一眼万年,Sunny__L__,358611,206,3565,72946,883,4016,广东,1712712708,31,6万点赞,BV1oC411V7H1
【少女焚烧案】以为烧尸灭迹，结果烧一晚上得救存活,郑郑得证,809345,2911,4359,26257,949,497,江苏,1712636000,592,,BV19m411q7De
在 5:20 睡 觉 13:14 超 度 你！,M_SX,369621,345,9145,40733,5425,4286,云南,1712636944,98,,BV14A4m1F7fh
